,Year_y,State_y,Deaths,Population_y,County Name,Death Rate,Policy or Control
38047,2001,Iowa,5.0,41760,,11.973180076628353,Control
38048,1999,Iowa,5.0,15200,,32.89473684210526,Control
38049,2020,Iowa,5.0,16521,,30.264511833424127,Control
38050,2018,Iowa,5.0,22000,,22.727272727272727,Control
38051,2016,Iowa,5.0,33189,,15.065232456536805,Control
38052,2014,Iowa,5.0,40866,,12.235109871286644,Control
38053,2012,Iowa,5.0,14837,,33.69953494641774,Control
38054,2010,Iowa,5.0,10776,,46.399406087602074,Control
38055,2008,Iowa,5.0,9350,,53.475935828877006,Control
38056,2006,Iowa,5.0,7911,,63.20313487548982,Control
38057,2004,Iowa,5.0,11191,,44.678759717630236,Control
38058,2002,Iowa,5.0,41757,,11.974040280671504,Control
38059,2000,Iowa,5.0,15102,,33.10819758972322,Control
38060,2019,Iowa,5.0,22095,,22.6295541977823,Control
38061,2017,Iowa,5.0,33105,,15.103458692040478,Control
38062,2015,Iowa,5.0,40746,,12.27114317969862,Control
38063,2013,Iowa,5.0,14896,,33.566058002148225,Control
38064,2011,Iowa,5.0,10783,,46.36928498562552,Control
38065,2009,Iowa,5.0,9247,,54.07159078620093,Control
38066,2007,Iowa,5.0,7877,,63.475942617747876,Control
38067,2005,Iowa,5.0,11214,,44.58712323880864,Control
38068,2003,Iowa,5.0,41654,,12.003649109329237,Control
38069,2001,Iowa,5.0,14950,,33.4448160535117,Control
38070,1999,Iowa,5.0,7049,,70.93204709887927,Control
38071,2020,Iowa,5.0,22370,,22.351363433169425,Control
38072,2018,Iowa,5.0,33407,,14.966923099949113,Control
38073,2016,Iowa,5.0,40312,,12.403254614010716,Control
38074,2014,Iowa,5.0,14831,,33.71316836356281,Control
38075,2012,Iowa,5.0,10725,,46.62004662004662,Control
38076,2010,Iowa,5.0,9243,,54.094990803851566,Control
38077,2008,Iowa,5.0,7904,,63.25910931174089,Control
38078,2006,Iowa,5.0,11179,,44.726719742374094,Control
38079,2004,Iowa,5.0,41758,,11.973753532257291,Control
38080,2002,Iowa,5.0,14808,,33.765532144786604,Control
38081,2000,Iowa,5.0,7003,,71.39797229758675,Control
38082,2019,Iowa,5.0,33253,,15.036237331970048,Control
38083,2017,Iowa,5.0,40288,,12.410643367752185,Control
38084,2015,Iowa,5.0,14844,,33.68364322285098,Control
38085,2013,Iowa,5.0,10709,,46.68970025212438,Control
38086,2011,Iowa,5.0,9239,,54.11841108345059,Control
38087,2009,Iowa,5.0,7924,,63.09944472488642,Control
38088,2007,Iowa,5.0,10981,,45.53319369820599,Control
38089,2005,Iowa,5.0,41894,,11.934883276841553,Control
38090,2003,Iowa,5.0,14762,,33.87074922097277,Control
38091,2001,Iowa,5.0,6963,,71.80812868016659,Control
38092,1999,Iowa,5.0,17112,,29.219261337073394,Control
38093,2020,Iowa,5.0,33168,,15.074770863482875,Control
38094,2018,Iowa,5.0,39981,,12.505940321652785,Control
38095,2016,Iowa,5.0,14972,,33.39567192091905,Control
38096,2014,Iowa,5.0,10779,,46.38649225345579,Control
38097,2012,Iowa,5.0,9124,,54.800526085050414,Control
38098,2010,Iowa,5.0,7970,,62.73525721455457,Control
38099,2008,Iowa,5.0,10823,,46.19791185438418,Control
38100,2006,Iowa,5.0,42145,,11.863803535413453,Control
38101,2004,Iowa,5.0,14564,,34.33122768470201,Control
38102,2002,Iowa,5.0,6899,,72.47427163357008,Control
38103,2000,Iowa,5.0,16976,,29.45334590009425,Control
38104,2019,Iowa,5.0,39369,,12.700347989534915,Control
38105,2017,Iowa,5.0,15068,,33.18290416777276,Control
38106,2015,Iowa,5.0,10832,,46.15952732644018,Control
38107,2013,Iowa,5.0,9121,,54.8185505975222,Control
38108,2011,Iowa,5.0,8056,,62.06554121151937,Control
38109,2009,Iowa,5.0,10803,,46.28343978524484,Control
38110,2007,Iowa,5.0,42325,,11.813349084465447,Control
38111,2005,Iowa,5.0,14552,,34.35953820780649,Control
38112,2003,Iowa,5.0,6888,,72.59001161440186,Control
38113,2001,Iowa,5.0,16822,,29.72298180953513,Control
38114,1999,Iowa,5.0,10137,,49.32425766992207,Control
38115,2020,Iowa,5.0,39495,,12.659830358273199,Control
38116,2018,Iowa,5.0,15063,,33.19391887406227,Control
38117,2016,Iowa,5.0,10763,,46.455449224194,Control
38118,2014,Iowa,5.0,8996,,55.58025789239662,Control
38119,2012,Iowa,5.0,8063,,62.01165819174004,Control
38120,2010,Iowa,5.0,10740,,46.554934823091244,Control
38121,2008,Iowa,5.0,42515,,11.760555098200635,Control
38122,2006,Iowa,5.0,14558,,34.3453771122407,Control
38123,2004,Iowa,5.0,6863,,72.85443683520326,Control
38124,2002,Iowa,5.0,16506,,30.292015024839454,Control
38125,2000,Iowa,5.0,10147,,49.27564797477087,Control
38126,2019,Iowa,5.0,15109,,33.09285856112251,Control
38127,2017,Iowa,5.0,10631,,47.03226413319537,Control
38128,2015,Iowa,5.0,8979,,55.685488361732936,Control
38129,2013,Iowa,5.0,8012,,62.406390414378436,Control
38130,2011,Iowa,5.0,10640,,46.992481203007515,Control
38131,2009,Iowa,5.0,42783,,11.68688497767805,Control
38132,2007,Iowa,5.0,14421,,34.6716593856182,Control
38133,2005,Iowa,5.0,6743,,74.15097137772506,Control
38134,2003,Iowa,5.0,16356,,30.5698214722426,Control
38135,2001,Iowa,5.0,10051,,49.746293901104366,Control
38136,1999,Iowa,5.0,24774,,20.182449342052152,Control
38137,2020,Iowa,5.0,14766,,33.86157388595422,Control
38138,2018,Iowa,5.0,10569,,47.3081653893462,Control
38139,2016,Iowa,5.0,8898,,56.19240278714318,Control
38140,2014,Iowa,5.0,8001,,62.49218847644045,Control
38141,2012,Iowa,5.0,10566,,47.321597577134206,Control
38142,2010,Iowa,5.0,42745,,11.697274535033337,Control
38143,2008,Iowa,5.0,14332,,34.88696622941669,Control
38144,2006,Iowa,5.0,6713,,74.48234768359899,Control
38145,2004,Iowa,5.0,16227,,30.81284279287607,Control
38146,2002,Iowa,5.0,9896,,50.52546483427648,Control
38147,2000,Iowa,5.0,24849,,20.121534065757174,Control
38148,2019,Iowa,5.0,10586,,47.23219346306443,Control
38149,2017,Iowa,5.0,8740,,57.20823798627002,Control
38150,2015,Iowa,5.0,7973,,62.71165182490907,Control
38151,2013,Iowa,5.0,10424,,47.966231772831925,Control
38152,2011,Iowa,5.0,42815,,11.678150181011329,Control
38153,2009,Iowa,5.0,14412,,34.693311129614216,Control
